YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,6124,7350,11598,14172,12336,14418,12588,8474,2102,6492,5754,14488
2011,12124,6114,11830,12480,13242,11616,9698,6958,7520,7674,5596,7044
2012,6084,14542,11060,7966,9556,12454,11320,6918,12404,10466,10150,14404
2013,13280,14606,11276,10816,13614,8556,9620,2458,2434,9882,3702,9952
2014,14034,544,0,4984,0,10292,14204,12596,13478,3640,4628,11362
2015,14584,10286,9086,3442,14492,10460,3874,10102,9870,14598,16,12498
2016,14474,6906,5256,12712,792,8570,7222,10142,2758,3880,548,8452
2017,10662,0,14456,4522,1216,2804,8550,12336,6102,0,3336,11342
2018,5698,7828,12322,13682,9208,9364,11338,12266,10822,9532,14574,14602
2019,12818,2448,4784,13340,4470,10444,10066,12076,10414,14240,2894,13898
2020,12400,13976,340,9930,502,4868,9086,3510,918,11628,480,9578
2021,12932,6586,8528,5482,348,14324,14234,4052,13740,6942,2326,14200
2022,13876,4676,3642,5960,3312,11186,6812,8196,13442,6990,9154,14544
2023,13050,0,12234,7148,7632,14010,4714,8616,12866,8186,10090,7720
2024,11182,534,8354,9208,14038,9182,9512,5314,12546,12524,12996,13692
2025,11448,1318,9310,13606,4824,12964,14550,7862,5768,12968,12060,13682
2026,6728,13164,12716,10908,590,0,12844,14084,5688,2998,7566,12294
2027,5612,476,10566,13828,10210,8276,0,3026,3452,14454,0,7120
2028,0,0,1574,8,6440,13766,1328,4014,6082,6828,11506,14318
2029,3348,2536,1902,4988,3360,7144,9952,2090,8338,6556,13526,3790
2030,10376,4188,0,10684,0,13914,0,9294,1026,1474,438,13682
2031,13202,0,12688,12362,3410,10636,13246,11088,12872,8450,9480,13820
2032,6722,0,4608,13158,12924,9022,10496,9782,5768,13358,0,5000
2033,14182,5120,548,13878,7514,10908,12650,5942,13130,2066,10648,13156
2034,4310,12896,8522,13652,2286,14116,6824,0,784,14208,4702,11212
2035,8908,0,0,538,5460,12086,2100,7792,870,13120,2156,6094
2036,13960,144,4816,0,6778,12640,7682,7294,7738,5054,3712,14268
2037,6074,8978,9930,6160,2914,11438,9936,5346,28,13716,9984,13832
2038,10906,5808,6726,14618,140,798,13912,868,11740,9290,4586,11192
2039,7720,0,4806,7332,4966,6480,8122,0,9284,6504,10260,14634
2040,7694,0,12328,0,1656,9630,3394,2128,10652,5018,6548,11086
2041,8918,7346,1488,3916,0,12632,11148,9670,4034,5192,2684,14036
2042,58,0,6590,13714,0,13652,5282,0,0,7934,0,11652
2043,4830,402,2410,5002,0,3060,5298,11716,6442,4466,4066,13422
2044,286,5336,0,7770,6556,5904,11264,9510,4920,11866,9300,14048
2045,0,9724,0,0,5274,12728,4746,5798,0,10302,4700,10144
2046,1824,5294,5628,0,5490,12212,6220,12090,0,11082,3782,11012
2047,652,7236,4060,11960,5216,7464,11400,10058,278,0,0,9290
2048,6570,8544,7752,9910,2230,8934,9702,10374,4714,14620,4364,11998
2049,9238,2704,0,1166,2640,12624,0,6190,0,14242,2094,9982
2050,11120,162,0,8260,1846,0,1174,7338,6306,9174,3720,6280
2051,10622,200,5636,5428,276,0,11268,9026,0,5110,5722,9956
2052,7596,82,2008,12206,322,0,11750,7772,0,4144,9906,8064
2053,5550,8174,6298,9694,8304,288,3874,6368,1650,9608,3944,9734
2054,0,8156,2670,0,178,10500,5650,5170,0,14344,8996,9900
2055,9442,0,3176,9374,6658,13088,4190,526,0,672,7110,5772
2056,11414,0,6328,13526,4436,262,6064,0,1630,5680,4198,14360
2057,4954,3630,1070,674,3602,12692,8600,4220,7922,8878,674,0
2058,448,3474,0,0,0,5952,10776,2722,0,0,13806,3578
2059,0,4670,0,5832,0,11184,8612,10382,2490,0,0,3972
2060,0,478,0,0,0,5588,12700,11794,13160,3828,3544,2094
2061,0,1462,3826,884,5676,10326,9528,70,906,5682,13362,8840
2062,0,0,2906,10454,6056,9210,0,5730,7028,312,4002,14404
2063,84,0,336,0,10182,3902,8970,866,562,0,4800,13096
2064,0,5976,6776,13386,0,10452,0,2352,5768,8292,6118,5736
2065,4800,0,0,138,0,9852,6104,6012,2334,0,0,10072
2066,0,64,0,7664,888,10932,7460,0,3784,13210,4166,12040
2067,10868,0,38,0,0,5350,80,3134,0,428,2900,0
2068,0,0,1646,0,0,6868,0,12080,0,222,9384,8626
2069,0,0,2740,0,0,4380,7068,5934,0,11402,6318,9760
2070,0,0,0,0,2412,6222,0,240,4586,2552,5588,12080
