YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,6194,7380,11926,14344,11410,14280,12340,9008,2282,6794,5850,14488
2011,13080,6088,11854,12828,13570,11660,9918,10554,7020,7818,5396,6732
2012,6020,14552,11676,8976,9836,11738,8584,7052,12524,10894,12266,14430
2013,13642,14604,11150,10300,13396,9900,9732,2530,2436,10302,3708,10370
2014,14060,522,0,5074,0,9926,14106,12858,13776,3798,4890,11316
2015,14586,10740,8672,3290,14524,10808,4064,9800,9990,14588,40,13182
2016,14534,7254,5040,12704,3972,8546,9194,6626,3734,4008,4146,8004
2017,11432,16,14462,4534,1208,2846,8436,11930,5956,0,3394,11954
2018,5702,7288,12926,13376,8642,9326,11584,12368,10872,12588,14550,14570
2019,12964,3940,4886,13476,4766,11346,10250,12654,10956,14400,3414,14178
2020,13092,13856,354,9826,490,4844,9006,3560,920,10274,474,9984
2021,13470,6894,9028,5866,348,14364,14138,4108,13388,6964,2494,14422
2022,13806,5752,3644,7326,2408,12702,6616,11216,12182,6816,10018,14552
2023,13228,0,12510,10676,7168,14110,4882,8598,12962,8822,9348,7456
2024,9410,574,8524,9514,13990,9450,10198,5426,13068,12560,14022,13590
2025,11124,1330,9314,14008,4820,13054,14544,8086,5684,12990,12284,13814
2026,6874,12458,12660,11108,446,0,12836,14306,6216,3604,8328,13484
2027,5254,498,10340,13672,11012,8436,14,3070,3484,14518,0,7986
2028,0,0,1548,58,5480,13986,1476,3778,6180,6800,11324,14360
2029,3442,2252,1902,4966,3408,8488,10078,2270,8468,7566,13454,3816
2030,10358,4292,0,11154,0,13856,0,9190,1238,1582,700,13718
2031,13744,0,12118,12254,2814,11866,14550,9160,13496,8642,9462,13936
2032,6886,0,4284,14022,13190,9530,10608,10224,5942,12256,0,5108
2033,13248,6296,618,13650,9560,11952,14016,7980,13136,3786,10852,13088
2034,4758,11372,8856,13172,2524,13790,6632,0,784,14428,4708,11158
2035,11372,0,0,560,5744,12148,2146,7956,972,13430,2242,6410
2036,14118,152,4862,0,6150,12554,8268,7884,7244,5258,3914,14290
2037,6090,10022,9074,6386,2906,11614,9754,5466,36,13950,10146,13544
2038,10480,5970,7044,14610,156,804,14076,814,10924,9316,4742,11802
2039,8042,0,5024,6820,4590,6762,8462,0,8408,8632,9840,14636
2040,7950,0,12558,0,1724,6392,3428,2126,9714,5536,6344,13206
2041,8868,7530,3778,3898,0,13078,11544,9830,4024,3988,2758,14194
2042,70,0,6972,13780,0,13578,5102,0,0,8354,0,12004
2043,5154,420,2742,5200,0,3164,5384,11764,6364,4466,4270,13154
2044,236,5170,0,7708,6754,6240,11438,5802,5388,11432,9458,13798
2045,0,9176,0,0,5260,12960,4994,5914,0,9352,4902,8626
2046,1838,5624,5798,0,5208,12456,6020,11824,0,13656,3478,11346
2047,2532,7434,4234,11874,3400,7666,11798,8346,320,0,0,7620
2048,5242,7994,7180,10028,2158,8730,10284,10428,4722,14620,4708,12674
2049,8314,3926,0,1940,3288,12390,0,6178,0,14254,2178,9560
2050,12642,152,0,8372,1902,0,1174,7674,5970,11644,3666,6544
2051,10890,1348,7164,5038,422,0,11516,8526,0,5886,5712,10042
2052,7456,54,2278,12908,362,0,12158,8288,0,5870,10420,9466
2053,5514,6268,6298,12312,7838,294,4210,6448,2070,10920,3966,10484
2054,0,7250,2712,0,210,10526,5680,5200,0,14312,11210,10254
2055,9372,0,3132,7508,6852,12680,3744,456,0,854,7048,5884
2056,11706,0,4396,13262,5302,274,6086,0,1910,6224,4292,14536
2057,5760,2938,1586,424,3634,13446,9254,4232,8182,8168,682,0
2058,428,4024,0,0,0,5886,10800,2684,0,0,12218,4244
2059,0,4326,0,6122,0,11774,8494,10378,2346,0,0,4320
2060,0,858,0,0,0,5510,12978,11976,12604,3468,3562,2264
2061,0,4052,3836,876,6262,11708,10168,112,932,5174,13534,9654
2062,0,0,2534,11074,6444,10074,0,5830,7028,310,4066,14558
2063,68,0,346,0,9452,4100,9158,1000,396,0,5520,13360
2064,0,1016,6576,13736,0,7806,0,2352,9036,6980,6352,6386
2065,5276,0,0,576,320,10220,5178,6892,2340,0,0,10640
2066,0,3106,0,7936,908,11012,8326,0,3812,13066,4262,12064
2067,11548,0,102,0,0,5492,72,3206,0,2146,2850,0
2068,0,0,1882,0,0,6706,0,11854,0,290,8044,9006
2069,0,0,2988,0,0,4462,6850,5648,0,12550,6976,7652
2070,0,158,0,0,2570,6220,0,314,4610,3498,5718,12852
2071,74,0,146,9646,0,0,7098,0,358,972,0,2558
2072,0,306,0,5216,0,5724,2600,6,0,6992,6048,290
2073,476,5318,0,4646,3408,9220,0,8026,0,7188,6934,0
